DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,GELÄNDEWAGEN,VOLVO XC60,1418,113.2,1,190,8.2,,,,,,1417,545,
202205,GELÄNDEWAGEN,VOLVO XC90,465,73.6,,,,,,,,,465,338,
202205,GELÄNDEWAGEN,VW TIGUAN,2800,159.7,1040,179.7,7.7,1533,163.9,6.2,,,227,227,
202205,GELÄNDEWAGEN,VW TOUAREG,313,201.9,28,256,11,248,217.5,8.2,,,37,37,
202205,SPORTWAGEN,ALPINE A110,32,154.4,32,154.4,6.7,,,,,,,,
202205,SPORTWAGEN,ASTON MARTIN DB11,3,257,3,257,11.1,,,,,,,,
202205,SPORTWAGEN,ASTON MARTIN V8,12,263.7,12,263.7,11.4,,,,,,,,
202205,SPORTWAGEN,AUDI R8,26,307.6,26,307.6,13.3,,,,,,,,
202205,SPORTWAGEN,AUDI TT,221,182.5,221,182.5,7.9,,,,,,,,
202205,SPORTWAGEN,BMW Z4,425,171.8,425,171.8,7.4,,,,,,,,
202205,SPORTWAGEN,FERRARI F8,53,294.8,53,294.8,12.7,,,,,,,,
202205,SPORTWAGEN,FERRARI PORTOFINO,24,256,24,256,11,,,,,,,,
202205,SPORTWAGEN,FERRARI ROMA,16,255,16,255,11,,,,,,,,
202205,SPORTWAGEN,FERRARI SF90,30,194,,,,,,,,,30,30,
202205,SPORTWAGEN,FORD MUSTANG,92,267.9,92,267.9,11.5,,,,,,,,
202205,SPORTWAGEN,JAGUAR F-TYPE,55,232.9,55,232.9,10,,,,,,,,
202205,SPORTWAGEN,LEXUS LC,7,260.1,6,272.8,11.8,,,,,,1,,
202205,SPORTWAGEN,MERCEDES AMG GT,95,250,53,293.6,12.7,,,,,,42,7,
202205,SPORTWAGEN,MERCEDES E-KLASSE COUPE,248,185.9,,,,65,171.6,6.5,,,183,,
202205,SPORTWAGEN,MERCEDES SL,60,289.3,53,291.9,12.6,,,,,,7,4,
202205,SPORTWAGEN,PORSCHE 911,982,257,982,257,11.1,,,,,,,,
202205,SPORTWAGEN,PORSCHE BOXSTER,139,226.6,139,226.6,9.8,,,,,,,,
202205,SPORTWAGEN,PORSCHE CAYMAN,71,245.3,71,245.3,10.6,,,,,,,,
202205,SPORTWAGEN,TOYOTA GR 86,11,199.3,11,199.3,8.6,,,,,,,,
202205,SPORTWAGEN,TOYOTA SUPRA,36,179,36,179,7.7,,,,,,,,
202205,MINI-VANS,DACIA LODGY,210,135.1,74,144.8,6.2,136,129.9,4.9,,,,,
202205,MINI-VANS,KIA SOUL,101,,,,,,,,,,,,101
202205,MINI-VANS,MERCEDES B-KLASSE,870,135.5,724,140.3,6,116,135.3,5.1,,,30,30,
202205,MINI-VANS,PEUGEOT 3008,554,92.7,162,143.7,6.2,91,135,5.1,,,301,301,
202205,MINI-VANS,RENAULT SCENIC,311,151.5,311,151.5,6.5,,,,,,,,
202205,GROSSRAUM-VANS,DACIA JOGGER,469,126,309,128.8,5.5,,,,,160,,,
202205,GROSSRAUM-VANS,FIAT ULYSSE,11,49.7,,,,3,182.3,6.9,,,,,8
202205,GROSSRAUM-VANS,FORD GALAXY,315,172.7,,,,301,173.8,6.6,,,14,,
202205,GROSSRAUM-VANS,FORD S-MAX,425,169.3,,,,405,170.4,6.4,,,20,,
202205,GROSSRAUM-VANS,MERCEDES V-KLASSE,1496,192.3,,,,1371,209.8,7.9,,,,,125
202205,GROSSRAUM-VANS,PEUGEOT 5008,171,147.5,66,150,6.5,105,146,5.5,,,,,
