DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,INSGESAMT,BENZIN,DIESEL,GAS (EINSCHL. BIVALENT),HYBRID INSGESAMT,ELEKTRO (BEV),SONSTIGE,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,SONSTIGE1
2020,BAYERN,09574 NUERNBERGER LAND,110732.0,72059.0,36215.0,564.0,1502.0,379.0,13.0,1261.0,5715.0,6794.0,26363.0,30555.0,37717.0,825.0
2020,BAYERN,09575 NEUSTADT/AISCH-WINDSHEIM,66980.0,39945.0,25696.0,505.0,563.0,250.0,21.0,829.0,4355.0,5254.0,18780.0,18293.0,18127.0,531.0
2020,BAYERN,09576 ROTH,86066.0,53763.0,30683.0,431.0,915.0,258.0,16.0,1026.0,4814.0,5655.0,21844.0,24112.0,26901.0,616.0
2020,BAYERN,09577 WEISSENBURG-GUNZENHAUSEN,62018.0,38391.0,22478.0,449.0,477.0,211.0,12.0,838.0,3998.0,4791.0,17246.0,17411.0,16535.0,508.0
2020,BAYERN,"09661 ASCHAFFENBURG,STADT",43423.0,28419.0,14008.0,372.0,496.0,120.0,8.0,511.0,2649.0,3037.0,10581.0,10280.0,15477.0,251.0
2020,BAYERN,"09662 SCHWEINFURT,STADT",28667.0,17276.0,10587.0,270.0,446.0,82.0,6.0,331.0,1763.0,2210.0,7658.0,6881.0,9310.0,166.0
2020,BAYERN,"09663 WUERZBURG,STADT",64248.0,40602.0,21761.0,698.0,906.0,267.0,14.0,901.0,3871.0,4330.0,15580.0,16118.0,21639.0,590.0
2020,BAYERN,09671 ASCHAFFENBURG,117419.0,76854.0,38183.0,892.0,1114.0,356.0,20.0,1324.0,7015.0,8256.0,30230.0,31008.0,37226.0,756.0
2020,BAYERN,09672 BAD KISSINGEN,70189.0,41873.0,26983.0,654.0,417.0,248.0,14.0,770.0,4287.0,5201.0,20067.0,19973.0,18559.0,539.0
2020,BAYERN,09673 RHOEN-GRABFELD,54247.0,30494.0,22446.0,504.0,390.0,397.0,16.0,546.0,3115.0,4127.0,15553.0,15831.0,13988.0,605.0
2020,BAYERN,09674 HASSBERGE,58167.0,33036.0,24017.0,639.0,302.0,159.0,14.0,592.0,3684.0,4409.0,16737.0,16388.0,15355.0,381.0
2020,BAYERN,09675 KITZINGEN,61322.0,37880.0,22067.0,528.0,638.0,198.0,11.0,760.0,4648.0,5044.0,17663.0,16214.0,15748.0,435.0
2020,BAYERN,09676 MILTENBERG,84528.0,52893.0,29678.0,642.0,1139.0,161.0,15.0,935.0,5343.0,6649.0,23139.0,22741.0,24294.0,411.0
2020,BAYERN,09677 MAIN-SPESSART,85136.0,52492.0,30820.0,822.0,787.0,201.0,14.0,928.0,5328.0,6304.0,23193.0,23471.0,24365.0,461.0
2020,BAYERN,09678 SCHWEINFURT,78326.0,49269.0,27372.0,777.0,593.0,291.0,24.0,866.0,5094.0,6260.0,22971.0,21832.0,19768.0,590.0
2020,BAYERN,09679 WUERZBURG,105990.0,68105.0,35273.0,1182.0,1016.0,397.0,17.0,1139.0,6226.0,7615.0,28674.0,28993.0,31027.0,817.0
2020,BAYERN,"09761 AUGSBURG,STADT",138396.0,91300.0,43170.0,1318.0,2208.0,373.0,27.0,1466.0,6792.0,8991.0,33821.0,33975.0,50608.0,809.0
2020,BAYERN,"09762 KAUFBEUREN,STADT",25113.0,16561.0,7991.0,185.0,308.0,67.0,1.0,244.0,1197.0,1609.0,6341.0,6803.0,8449.0,141.0
2020,BAYERN,"09763 KEMPTEN(ALLGAEU),STADT",39356.0,24551.0,13950.0,227.0,488.0,134.0,6.0,311.0,1684.0,2293.0,9191.0,10487.0,14673.0,286.0
2020,BAYERN,"09764 MEMMINGEN,STADT",26592.0,16477.0,9622.0,171.0,252.0,68.0,2.0,249.0,1207.0,1754.0,6823.0,6979.0,9091.0,145.0
2020,BAYERN,09771 AICHACH-FRIEDBERG,86534.0,55382.0,29283.0,676.0,933.0,250.0,10.0,1026.0,4615.0,5874.0,22341.0,23800.0,27027.0,537.0
2020,BAYERN,09772 AUGSBURG,164782.0,109064.0,51937.0,1167.0,2119.0,470.0,25.0,1875.0,8288.0,10455.0,40642.0,44643.0,55269.0,1041.0
2020,BAYERN,09773 DILLINGEN A.D.DONAU,64941.0,40950.0,22723.0,461.0,654.0,138.0,15.0,662.0,3686.0,4887.0,18406.0,18409.0,17701.0,292.0
2020,BAYERN,09774 GUENZBURG,84078.0,51453.0,31346.0,479.0,612.0,174.0,14.0,826.0,4204.0,5539.0,22628.0,24117.0,25299.0,491.0
2020,BAYERN,09775 NEU-ULM,109953.0,72188.0,35868.0,712.0,880.0,284.0,21.0,1060.0,5592.0,6828.0,29730.0,29430.0,35152.0,562.0
2020,BAYERN,09776 LINDAU (BODENSEE),52310.0,33701.0,17713.0,305.0,391.0,191.0,9.0,636.0,3158.0,3810.0,13873.0,14226.0,15222.0,421.0
2020,BAYERN,09777 OSTALLGAEU,91455.0,56938.0,32679.0,721.0,793.0,307.0,17.0,959.0,4684.0,6301.0,23533.0,25895.0,28097.0,789.0
2020,BAYERN,09778 UNTERALLGAEU,98460.0,61084.0,35732.0,642.0,738.0,243.0,21.0,1142.0,5621.0,6861.0,27297.0,27984.0,27491.0,600.0
2020,BAYERN,09779 DONAU-RIES,91431.0,55637.0,33932.0,602.0,994.0,256.0,10.0,1004.0,5644.0,6993.0,25214.0,25475.0,25430.0,593.0
2020,BAYERN,09780 OBERALLGAEU,100813.0,62982.0,36289.0,489.0,691.0,347.0,15.0,1101.0,4645.0,6441.0,24325.0,29009.0,32854.0,960.0
2020,BERLIN,11000 BERLIN,1221433.0,886950.0,288648.0,15215.0,25349.0,4886.0,385.0,17262.0,82664.0,93049.0,322868.0,281796.0,398226.0,7667.0
2020,BRANDENBURG,"12051 BRANDENBURG/HAVEL,STADT",34476.0,25205.0,8557.0,220.0,426.0,53.0,15.0,322.0,2155.0,2646.0,9694.0,9056.0,10163.0,153.0
