Bundesland;Date;Powertrain;Reg
BAYERN;01.07.21;Hybrid;15276
BERLIN;01.07.21;Benzin;2107
BERLIN;01.07.21;Diesel;756
BERLIN;01.07.21;EV;725
BERLIN;01.07.21;CNG;7
BERLIN;01.07.21;LPG;9
BERLIN;01.07.21;Hybrid;1948
BRANDENBURG;01.07.21;Benzin;1656
BRANDENBURG;01.07.21;Diesel;795
BRANDENBURG;01.07.21;EV;451
BRANDENBURG;01.07.21;CNG;8
BRANDENBURG;01.07.21;LPG;31
BRANDENBURG;01.07.21;Hybrid;1238
BREMEN;01.07.21;Benzin;509
BREMEN;01.07.21;Diesel;312
BREMEN;01.07.21;EV;126
BREMEN;01.07.21;CNG;
BREMEN;01.07.21;LPG;6
BREMEN;01.07.21;Hybrid;516
HAMBURG;01.07.21;Benzin;3528
HAMBURG;01.07.21;Diesel;2071
HAMBURG;01.07.21;EV;545
HAMBURG;01.07.21;CNG;3
HAMBURG;01.07.21;LPG;10
HAMBURG;01.07.21;Hybrid;1767
HESSEN;01.07.21;Benzin;11749
HESSEN;01.07.21;Diesel;5023
HESSEN;01.07.21;EV;2727
HESSEN;01.07.21;CNG;53
HESSEN;01.07.21;LPG;89
HESSEN;01.07.21;Hybrid;7343
MECKLENBURG-VORPOMMERN;01.07.21;Benzin;1153
MECKLENBURG-VORPOMMERN;01.07.21;Diesel;512
MECKLENBURG-VORPOMMERN;01.07.21;EV;239
MECKLENBURG-VORPOMMERN;01.07.21;CNG;6
MECKLENBURG-VORPOMMERN;01.07.21;LPG;11
MECKLENBURG-VORPOMMERN;01.07.21;Hybrid;559
NIEDERSACHSEN;01.07.21;Benzin;10058
NIEDERSACHSEN;01.07.21;Diesel;4921
NIEDERSACHSEN;01.07.21;EV;2742
NIEDERSACHSEN;01.07.21;CNG;41
NIEDERSACHSEN;01.07.21;LPG;84
NIEDERSACHSEN;01.07.21;Hybrid;5164
NORDRHEIN-WESTFALEN;01.07.21;Benzin;18278
NORDRHEIN-WESTFALEN;01.07.21;Diesel;8756
NORDRHEIN-WESTFALEN;01.07.21;EV;5286
NORDRHEIN-WESTFALEN;01.07.21;CNG;47
NORDRHEIN-WESTFALEN;01.07.21;LPG;273
NORDRHEIN-WESTFALEN;01.07.21;Hybrid;15523
RHEINLAND-PFALZ;01.07.21;Benzin;3364
RHEINLAND-PFALZ;01.07.21;Diesel;1649
RHEINLAND-PFALZ;01.07.21;EV;1166
RHEINLAND-PFALZ;01.07.21;CNG;13
RHEINLAND-PFALZ;01.07.21;LPG;60
RHEINLAND-PFALZ;01.07.21;Hybrid;2830
SAARLAND;01.07.21;Benzin;982
SAARLAND;01.07.21;Diesel;602
SAARLAND;01.07.21;EV;254
SAARLAND;01.07.21;CNG;1
SAARLAND;01.07.21;LPG;8
SAARLAND;01.07.21;Hybrid;816
SACHSEN;01.07.21;Benzin;3253
SACHSEN;01.07.21;Diesel;1582
SACHSEN;01.07.21;EV;645
SACHSEN;01.07.21;CNG;4
SACHSEN;01.07.21;LPG;56
SACHSEN;01.07.21;Hybrid;2212
SACHSEN-ANHALT;01.07.21;Benzin;1505
SACHSEN-ANHALT;01.07.21;Diesel;648
SACHSEN-ANHALT;01.07.21;EV;274
SACHSEN-ANHALT;01.07.21;CNG;11
SACHSEN-ANHALT;01.07.21;LPG;17
SACHSEN-ANHALT;01.07.21;Hybrid;1169
SCHLESWIG-HOLSTEIN;01.07.21;Benzin;2158
SCHLESWIG-HOLSTEIN;01.07.21;Diesel;1333
SCHLESWIG-HOLSTEIN;01.07.21;EV;801
SCHLESWIG-HOLSTEIN;01.07.21;CNG;4
SCHLESWIG-HOLSTEIN;01.07.21;LPG;22
SCHLESWIG-HOLSTEIN;01.07.21;Hybrid;1619
THÜRINGEN;01.07.21;Benzin;1819
THÜRINGEN;01.07.21;Diesel;917
THÜRINGEN;01.07.21;EV;370
THÜRINGEN;01.07.21;CNG;4
THÜRINGEN;01.07.21;LPG;33
THÜRINGEN;01.07.21;Hybrid;1098
BADEN-WÜRTTEMBERG;01.06.21;Benzin;12326
BADEN-WÜRTTEMBERG;01.06.21;Diesel;6823
BADEN-WÜRTTEMBERG;01.06.21;EV;5382
BADEN-WÜRTTEMBERG;01.06.21;CNG;49
BADEN-WÜRTTEMBERG;01.06.21;LPG;77
BADEN-WÜRTTEMBERG;01.06.21;Hybrid;10303
BAYERN;01.06.21;Benzin;22297
BAYERN;01.06.21;Diesel;11083
BAYERN;01.06.21;EV;6435
